Copernican ideology.,কোপারনিকান মূলনীতি
"During the month of August of 1947, the region got its independence as the Western part of the state of Pakistan.",১৯৪৭ সালের আগস্টে এলাকাটি পাকিস্তান নামক রাষ্ট্রের পশ্চিম অংশ হিসেবে স্বাধীনতা লাভ করে।
Tan-Baluchistan,তান - বালুচিস্তান
See also,আরও দেখুন
Wikimedia Foundation ( San Francisco),উইকিমিডিয়া ফাউন্ডেশন (সান ফ্রান্সিস্কো)
Current members of trusty board,বর্তমান ট্রাস্টি বোর্ডের সদস্যগণ
External links,বহিঃসংযোগ
"Free distribution rights( meaning copy, sell, etc.)",যথেচ্ছ বিতরণের অধিকার ( অর্থাৎ কপি করা বিক্রি করা ইত্যাদি) ।
In fact the source of revenue in open source software business is not the sales price but the money earned from the service provided for the software.,আসলে ওপেন-সোর্স সফটওয়্যার বাণিজ্যে আয়ের মূল উৎস সফটওয়্যারের বিক্রিলব্ধ অর্থ নয় বরং সফটওয়্যার সার্ভিস থেকে প্রাপ্ত অর্থ।
From German captured country Army was sent against German.,জার্মানি কর্তৃক দখলকৃত কিছু দেশ হতেও অক্ষশক্তির বিরুদ্ধে সৈন্যবাহিনী প্রেরিত হয়।
Main reason of this was some ordinary people killing mission.,নিহতের এই সুবিশাল সংখ্যার মূল কারণ ছিল কিছু গণহত্যামূলক অভিযান।
"If we set all reconstruction costs aside, the total amount of expenditure was 1 trillion US dollars in 1945 alone.",সকল পুনর্গঠন কাজ বাদ দিলে কেবল ১৯৪৫ সালেই মোট ব্যয়ের পরিমাণ দাড়ায় ১ ট্রিলিয়ন মার্কিন ডলার।
"This reason got established making responsible the domination and imperialism of Germany and Japan after the World War I, whose details is mentioned here.",প্রথম বিশ্বযুদ্ধের পর জার্মানি এবং জাপানের আধিপত্য ও সম্রাজ্যবাদকে দায়ী করে এই কারণটি প্রতিষ্ঠা লাভ করে যার বিস্তারিত এখানে উল্লেখিত হচ্ছে।
On the other hand Britain and France made a treaty of cooperation with Poland.,অন্যদিকে ব্রিটেন ও ফ্রান্স পোল্যান্ডের সাথে সহায়তা চুক্তি করে ।
Soviet Finland war,সোভিয়েত ফিনল্যান্ড যুদ্ধ
"Finland applied for a peace agreement on 6th March, 1940.",৬ই মার্চ ১৯৪০ ফিনল্যান্ড শান্তির জন্য আবেদন করল ।
When the plan was revealed then Hitler stopped his will of capturing France and ordered to make their journey to Norway.,পরিকল্পনাটি ফাঁস হয়ে গেলে হিটলার ফ্রাণ্স আক্রমণের ইচ্ছা স্হগিত রেখে নরওয়ে অভিযানের নির্দেশ দিল ।
Norway troops  surrendered to Germany and King Haakon went to Britain.,নরওয়ে বাহিনী আত্মসমর্পণ করলো এবং রাজা সপ্তম হাকোন ব্রিটেনে আশ্রয় নিলেন ।
On 26the may 4th june historic dismissal of the soldier came to an end.,২৬শে মে থেকে ৪ঠা জুন ইতিহাসের বৃহত্তম সেনা অপসারণের কাজ শেষ হলো ।
Pentta formed a government with few areas which was neutral but free from the influence of Germany.,অল্প কিছু জায়গা জুড়ে পেঁত্যা একটি নিরপেক্ষ কিন্তু জার্মানীর প্রভাবাধীন সরকার গঠন করেন ।
Above it British army came down to Crete.,উপরন্তু ক্রীটে ব্রিটিশ সৈন্য নামল।
After that Crete was occupied.,এরপর ক্রীট দখল করা হয় ।
First generation server of Google was made of cheap computers which are available in the market.,গুগলের প্রথম প্রজন্মের সার্ভার তৈরি হয়েছিলো বাজারে কিনতে পাওয়া সস্তা সব কম্পিউটার দিয়ে
This proposition is known as the theory of Big Bang in the physical theology of the universe.,এই ধারণাটিকেই ভৌত বিশ্বতত্ত্বে মহা বিস্ফোরণ বা বৃহৎ বিস্ফোরণ বলে বোঝানো হয়।
Through this theory that George Gamow could imagine in 1948 about the existence of the cosmic microwave background radiation.,এই তত্ত্বের মাধ্যমেই ১৯৪৮ সালে জর্জ গ্যামফ অনুমান করতে পেরেছিলেন যে মহাজাগতিক অণুতরঙ্গ পটভূমি বিকিরণের অস্তিত্ব রয়েছে।
in any way this can be calrifi,এর দুই বছর পর এডুইন হাবল ল্যমেত্র্‌র তত্ত্বের সপক্ষে একটি পর্যবেক্ষণমূলক প্রমাণ উপস্থাপন করেন।
"According to this hypothesis, at universe remains the same at any point of time.",এই নকশা অনুসারে সময়ের যে কোন বিন্দুতে মহাবিশ্ব একইরকম থাকে।
"FOR A TEMPORARIRY PERIOD BOTH THE """" STATIC STATE"""" AND """"BING BANG"""" WAS ADMIRED BY ALL BUT THERE WERE LOT TO BE ARGUMENTED AS WELL.",কিছু সময়ের জন্য স্থির অবস্থা এবং মহা বিস্ফোরণ দুইটি তত্ত্বেরই যথেষ্ট গ্রহণযোগ্যতা ছিল বিধায় বিতর্কেরও অবকাশ ছিল প্রচুর।
"For this reason, there is an unexpected discovery; and it is proof of increase expansion of expanding universe (see: dark energy)",এর ফলে একটি অপ্রত্যাশিত আবিষ্কার সম্ভব হয়েছে; আর তা হলো সম্প্রসারণশীল মহাবিশ্বের ত্বরমান হওয়ার প্রমাণ (দেখুন: গুপ্ত শক্তি)।
"After about 10-35 seconds of Planck time, began a phase of change in the state that is a state of transition as a result of which the universe started inflating.",প্ল্যাংকের সময়ের প্রায় ১০−৩৫ সেকেন্ড পর একটি দশা পরিবর্তন তথা অবস্থান্তর অবস্থার সূচনা ঘটে যার ফলে মহাজাগতিক স্ফীতি শুরু হয়।
This process is called Baryogenesis.,এই প্রক্রিয়াকে বেরিওজেনেসিস বলা হয়।
But some proton still remain.,তবে কিছু প্রোটন থেকে যায়।
This old radiation is called as the small wave radiation,এই সুপ্রাচীন বিকিরণের নাম মহাজাগতিক ক্ষুদ্রতরঙ্গ পটভূমি বিকিরণ।
some suspicious power exists in present universe,বর্তমান মহাবিশ্বের অধিকাংশ স্থান জুড়ে একটি রহস্যময় ধরণের শক্তি বিরাজ করছে।
"This equation which is made up by extracting all the equations, is mainly mathematical which has six free parameters.",সবগুলো নকশার নির্যাস নিয়ে গঠিত এই নকশাটি মূলত গাণিতিক যাতে ছয়টি মুক্ত স্থিতিমাপ (parameter) রয়েছে।
The big bang theory depends on the following assumptions:,মহা বিস্ফোরণ তত্ত্ব নিম্নলিখিত অনুমিতিগুলোর উপর নির্ভর করে:
"The matters those are unified (like atoms, men, stars, solar system, galaxies), they don't expand to move apart from each others as the time and space expand; because the force that has kept them unified is stronger than the force responsible for the Hubble Expansion.",যে বস্তুসমূহ একীভূত থাকে (যেমন: পরমাণু মানুষ তারা সৌর জগত ছায়াপথ) তারা স্থান-কালের প্রসারণের সাথে প্রসারিত হয়ে একে অন্যের থেকে দূরে সরে যায়না; কারণ যে বল তাদেরকে একীভূত করে রেখেছে তা হাবল সম্প্রসারণের জন্য দায়ী বলের চেয়ে শক্তিশালী।
If this universe is spreading with acceleration then a definite amount of conformal time is there for the future.,মহাবিশ্ব যদি ত্বরণ সহকারে সম্প্রসারিত হতে থাকে তাহলে কেবল একটি সুনির্দিষ্ট সংখ্যাক কনফরমাল সময় ভবিষ্যতের জন্য রয়েছে।
Hubble's Law,হাবলের নীতি
The background  of universal small ripple diffusion,মহাজাগতিক ক্ষুদ্রতরঙ্গ পটভূমি বিকিরণ
The name of this process is Photon Decoupling.,এই প্রকিয়ার নাম ফোটন ডিকাপলিং।
The data sent by this satellite in 1990 supported the Big Bang theory.,এই কৃত্রিম উপগ্রহ থেকে ১৯৯০ সালে প্রাপ্ত তথ্য পটভূমি বিকিরণ সম্বন্ধে মহা বিস্ফোরণ তত্ত্বের ধারণাকে সমর্থন করে।
0.25 for 8 He/H,৪He/H -এর জন্য প্রায় ০.২৫
With keen description it is seen that Milky Way and Coasar and the expanded path system supports the Big Bang Theory.,সূক্ষ্ণ বিশ্লেষণ করলে দেখা যায় ছায়াপথ এবং কোয়াসারসমূহের অন্তর্গঠন এবং বৃহৎ পরিসর গঠনের বন্টন ব্যবস্থা মহা বিস্ফোরণ তত্ত্বকে সমর্থন করে।
With these there have been formed the Non-standard Cosmology.,এগুলো নিয়েই গড়ে উঠেছে অ-প্রমিত বিশ্বতত্ত্ব (Non-standard Cosmology)।
But this information are not properly included in the Physical Science till now.,কিন্তু এই তত্ত্বগুলোকে কণা পদার্থবিজ্ঞানের আদর্শ নকশার মধ্যে সঠিকভাবে বিন্যস্ত করা হয় নি।
"From top to bottom: Geometry of a closed universe, an open universe and a flat universe.",উপর থেকে নিচে: একটি বদ্ধ মহাবিশ্বে জ্যামিতি উন্মুক্ত মহাবিশ্বে এবং সমতল মহাবিশ্বে।
Sakharov conditions must be fulfilled for baryogenesis to occur.,বেরিওজেনেসিস ঘটার জন্য শাখারভ শর্তগুলো অবশ্যই পূর্ণ হতে হবে।
"or the juvenilia of Jane Austen, written to amuse brothers and sisters. Anne Frank wrote a novel and many short stories in addition to her diary",অবশ্য এই সমস্যাটি কয়েক বছর পরই সমাধান হয়ে যায় যখন কম্পিউটার সিমুলেশনে আরও উন্নত প্রযুক্তির আবির্ভাব ঘটে।
But this idea was strongly inconsistent with observations.,কিন্তু এই ধারণা পর্যবেক্ষণের সাথে সামাঞ্জস্যহীন ছিল।
The dark matters are the subjects of many significant researches of particle physics.,কণা পদার্থবিজ্ঞানের অনেক গুরুত্বপূর্ণ গবেষণার বিষয় বর্তমানে অদৃশ্য বস্তু।
Its nature is the most uncertain topic according to the Big Bang Theory.,এর প্রকৃতি বর্তমান মহা বিস্ফোরণ তত্ত্বের অন্যতম রহস্যময় বিষয়।
The average temperature of the universe will asymptotically approach the absolute zero and big freeze condition will be created.,মহাবিশ্বের গড় তাপমাত্রা এসিম্পটোটিকভাবে পরম শূন্যের দিকে অগ্রসর হবে এবং মহা হিমায়ন (big freeze) অবস্থার সৃষ্টি হবে।
"According to this, cluster of galaxies, stars, planets, atoms or subatomic particles, everything will be torn apart and due to this, big-rip will be created in the ever expanding universe in a particular time.",এটি অনুসারে ছায়াপথ স্তবক তারা গ্রহ পরমাণু বা কেন্দ্রীন সবগুলোই এক সময় ছিন্নভিন্ন হয়ে যাবে এবং চির প্রসারণশীল মহাবিশ্বে এ কারণে এক সময় বিগ রিপ সৃষ্টি হবে।
Every assumption in this respect is treated as quantum physics,এ সম্বন্ধে সকল অনুমান কোয়ান্টাম মহাকর্ষ হিসেবে আলোচিত হয়।
"The Big Bang is a scientific theory, it is not propounded on the basis of any religion.",মহা বিস্ফোরণ একটি বৈজ্ঞানিক তত্ত্ব কোন ধর্মের উপর ভিত্তি করে এটি তৈরি করা হয় নি।
A lot of Christians and the traditional Jews believe on the basis of some facts and data that the Big Bang could be a probable reason of the creation of the universe.,বেশ কিছু খ্রিস্টান এবং প্রথাগত ইহুদী গোষ্ঠী বিভিন্ন তথ্যসূত্রের সাপেক্ষে বিশ্বাস করে যে মহা বিস্ফোরণ মহাবিশ্ব সৃষ্টির একটি সম্ভাব্য উপায় হতে পারে।
The theories of great contraction and vibrating universe are also included in Quran (Shura Ambia; 21:104):,মহা সংকোচন এবং কম্পনশীল মহাবিশ্বের তত্ত্বও কুরআনের সমর্থন লাভ করেছে (সূরা আম্বিয়া; ২১ : ১০৪):
Written times of Universe.,মহা বিস্ফোরণের চিত্রলৈখিক কালপঞ্জি
In this case 1% purity is assumed to be found.,এক্ষ্রতে শতকরা ১ ভাগ বিশুদ্ধতার আশা করা যায়।
for sake,হল বস্তুটির দূরত্ব এবং
On the end of the decades of 1970 the magnetic mono polarization thought first came into existence.,১৯৭০-এর দশকের শেষ ভাগে প্রথম চৌম্বক একমেরু ধারণাটি উত্থাপিত হয়।
Subject: Physical information on Earth,বিষয়শ্রেণী:ভৌত বিশ্বতত্ত্ব
- is defined by following equation:,-কে নিচের সমীকরণের সাহায্যে সংজ্ঞায়িত করা হয়:
"The solution of a general cubic equation in radicals may require intermediate calculations containing the square roots of negative numbers, even when the final solutions are real numbers.",সাধারণ ত্রিঘাত সমীকরণের সমাধান প্রক্রিয়ায় অনেক মধ্যবর্তী হিসেবের সময় এমন কিছু পদ চলে আসে যেগুলোতে ঋণাত্মক সংখ্যার বর্গমূল থাকে এমনকি যখন মূল সমাধানে শুধু বাস্তব সংখ্যা থাকে তখনও।
Signal method,প্রতীক পদ্ধতি
"In some cases (especially in different faculties of Electrical Engineering where with electric current in a circuit is denoted), the imaginary unit is expressed by this instead of .",কিছু কিছু ক্ষেত্রে (বিশেষ করে তড়িৎ প্রকৌশলের বিভিন্ন অনুষদে যেখানে দ্বারা বর্তনীর বিদ্যুৎ প্রবাহ নির্দেশ করা হয়) কাল্পনিক একককে এর বদলে দ্বারা প্রকাশ করা হয়।
"Complex number can be written as the roll number of a real number, where the number is a point in the complex field, where x and y are the two poles.",জটিল সংখ্যাকে বাস্তব সংখ্যার একটি ক্রোমজোড় হিসেবে উপস্থাপন করা যেতে পারে যেখানে সংখ্যাটি হচ্ছে জটিল সমতলে একটি বিন্দু যেখানে x এবং y হচ্ছে দিগাক্ষ।
Where,যেখানে
And because of this.,অর্থাৎ এবং এর জন্য।
Though the multiplicative operation is not like the operation in which the positive number is placed on the negative number and then arranged.,যদিও বর্গমূল অপারেশন টি ঋণাত্বক সংখ্যার উপর ধনাত্বক সংখ্যার মত করে সংজ্ঞায়িত নয়।
"One field obey the rule of algebraic operation of addition,subtraction,multiplication, and division.",একটি ফিল্ড হচ্ছে একটি বীজগাণিতিক সংগঠন যার যোগ বিয়োগ গুণ এবং ভাগের অপারেশনগুলি কিছু নির্দিষ্ট বীজগাণিতিক নিয়ম মেনে চলে।
Both are explained bellow.,নিচে উভয়েরই বর্ণনা দেওয়া হল।
Where it may happen and only happens.,যেখানে হবে যদি এবং কেবল যদি হয়।
The last law is used the most when z is given in the Cartesian coordinate.,শেষের সূত্রটি বিশেষ ভাবে ব্যবহৃত হয় যখন z কে কার্টেসিয়ান কো-অর্ডিনেটে দেওয়া থাকে।
The Cartesian representation of z = x + jy is also expressed through the Polar form.,z = x+iy এর কার্টেসিয়ান রিপ্রেজেন্টেশন কে পোলার ফর্মেও প্রকাশ করা হয়।
The conversion into the Cartesian form from the polar form,পোলার ফর্ম থেকে কার্টেসিয়ান ফর্মে রূপান্তর
"This is called as a form of Triginometry, Sometimes cis fie is used to denote cos fie + i sin fie. Then Z = r cis fie",এটাকে বলা হয় ত্রিকোনমিতিক ফর্ম কখনো কখনোcis φ দ্বারা cos φ + i sin φ. বোঝানো হয় তখন লেখা হয় z = r cis φ
Multiplication of complex number can be shown that it is like a rotation and stretching.,আর দুইটি জটিল সংখ্যার গুন কে দেখা যেতে পারে একই সাথে প্রয়োগ করা একটা রোটেশন বা ঘুর্ণন এবং স্ট্রেচিং বা বিবর্ধনের মত।
The ideas regarding complex numbers are not clear and are not transparent,জটিল সংখ্যা সংক্রান্ত প্রচলিত ধারণা এবং অসচ্ছতা
"Be in English or in Bengali, the term used for these numbers are 'imaginary', 'unreal' and above all 'complex' number.",ইংরেজি বা বাংলা সব ভাষায় এই সংখ্যার পরিভাষা হচ্ছে ‘কম্পলেক্স’ ‘ইমাজিনারি’ ‘অবাস্তব’ ‘কাল্পনিক’ এবং সর্বোপরি ‘জটিল’ সংখ্যা।
"Because, it is not easy to create a real example of this number.",কারণে এই সংখ্যার বাস্তব উদারণ সৃষ্টি করা সহজ সাধ্য নয়।
"but religions and customs also play an important role in people democracu, specially budhism, confisious, and tao azm are in them",এসব সংখ্যাকে আমরা কল্পনা করে নিয়েছি আমাদের বাস্তব জীবনের বিভিন্ন সমস্যা সমাধানের জন্য।
Is a and b can be a number?,a বা b কি কোন সংখ্যা হতে পারে?
"When we consider  an imaginary unit for the complex numbers,   we can easily arrive at an equation.",আমরা যখন জটিল সংখ্যার কাল্পনিক একক কে হিসাবে দেখি তখন সহজেই একটা সমীকরণে পৌছতে পারি।
After invention of quantum physics it was observed that there is not much change in real number.,পরবর্তীকালে বিশেষ করে কোয়ান্টাম বলবিজ্ঞানের আবিষ্কারের পরে দেখা যায় যে বাস্তব সংখ্যার প্রতি প্রকৃতির কোন অতিরিক্ত প্রীতি নেই।
"if on the left half plane, then stable",বাম অর্ধতলে থাকে তাহলে স্টেবল
"In this case, utilized periodical functions are,",এক্ষেত্রে ব্যবহৃ পর্যায়বৃত্ত ফাংশনগুলি এই
"Often in applied mathematics, to calculate the improper integral of real number, functions of complex number are used.",ফলিত গণিতে অনেক বাস্তব সংখ্যার ফাংশনের ইম্প্রোপার ইন্টিগ্রাল বের করার জন্য জটিল সংখ্যার ফাংশন ব্যবহৃত হয়।
Result of mathematics.,ফলিত গণিত
Historical Sources,ঐতিহাসিক তথ্যসূত্র
Algebraic structure,Algebraic structure (অ্যাল্‌জিব্‌রেইক্‌ স্ট্রাক্‌চার্‌) - বীজগাণিতিক সংগঠন
external connections,বহিঃসংযোগ সমূহ
Pakistan is a part of Indian Subcontinent.,পাকিস্তান ভারতীয় উপমহাদেশের অংশ।
"The other part of the country i.e. the East Pakistan, was about 1600 kilometers away from Pakistan.",দেশের অন্য অংশ পূর্ব পাকিস্তান পশ্চিম পাকিস্তান থেকে প্রায় ১৬০০ কিলোমিটার দূরে অবস্থিত ছিল।
"In year 1934 writer Choudhuri  Rahamat Ali tell this in his book """"Now or Never"""".",১৯৩৪ সালে চৌধুরী রহমত আলী তাঁর নাও অর নেভার (Now or Never) পুস্তিকায় এই নামটির প্রস্তাব রাখেন ।
External links,বহিঃসংযোগ
Wikimedia Foundation is an international non-profit organization.,উইকিমিডিয়া ফাউন্ডেশন একটি আন্তর্জাতিক অলাভজনক প্রতিষ্ঠান।
Advisors,উপদেষ্টামন্ডলী
Wikimedia Foundation Website,উইকিমিডিয়া ফাউন্ডেশন ওয়েবসাইট
Open source code.,উন্মুক্ত সোর্স কোড ।
"Software service means customization of the software, development, selling instruction manual and providing training, etc.",সফটওয়্যার সার্ভিস বলতে বোঝায় সফটওয়্যারের কাস্টমাইজড সংস্করণ তৈরি উন্নতকরণ নির্দেশিকা বিক্রি প্রশিক্ষণ প্রদান ইত্যাদি।
Mainly army from Eastern country joined with German and army from other country was against German.,বিশেষত পূর্ব সীমান্তের যুদ্ধে এই সকল দেশের সৈন্যরা অংশগ্রহণ করে; অন্যান্য জাতিসমূহ মিত্রশক্তির সাথে যোগদান করে।
Example:,যেমন:
Right after this war Europe was divided into two parts; one part was the West Europe and Soviet Russia was included in the other part.,এই যুদ্ধের পরপরই সমগ্র ইউরোপ দুই ভাগে ভাগ হয়ে যায়; এক অংশ হয় পশ্চিম ইউরোপ আর অন্য অংশে অন্তর্ভুক্ত হয় সোভিয়েত রাশিয়া।
"After the World War I Germany lost almost all her resource, dignity and power.",প্রথম বিশ্বযুদ্ধের পর জার্মানি তার সম্পদ সম্মান এবং ক্ষমতার প্রায় সবটুকুই হারিয়ে বসে।
The attack on Poland was started on 1st September.,১লা সেপ্টেম্বর পোল্যান্ড অভিযান শুরু হল ।
During the war with German Soviet Union attacked Finland .,জার্মানী বনাম মিত্রপক্ষ ভুয়াযুদ্ধ চলাকালীন সময় সোভিয়েত ইউনিয়ন ফিনল্যান্ড আক্রমণ করে শীতকালীন যুদ্ধের সূচনা করল ।
Though they were able to preserve their sovereignty they had to leave a significant amount of their lands near Leningrad to Soviet Union according to their earlier negotiation.,সার্বভৌমত্ব রক্ষা পেলেও স.ইউনিয়নের আগের দাবী্ অনুযায়ী লেলিনগ্র্রাদের কাছাকাছি বেশকিছু এলাকার মালিকানা ছেড়ে দিতে হয় ফিনল্যান্ডকে ।
On 9th April together Norway and the relation between Denmark and Norway started to advance.,৯ই এপ্রিল একই সাথে নরওয়ে ও ডেনমার্কে নরওয়ের সাথে যোগাযোগের সুবিধার্থে আগ্রাসন শুরু হল ।
"For Germany, Norway, beside the Arctic Ocean and Britain,  was utilized as an important naval and air bases.",জার্মানীর জন্য নরওয়ে আর্কটিক সাগর এবং ব্রিটেনের নিকটবর্তী একটি দরকারী নৌ ও বিমান ঘাঁটি হিসেবে কাজে দিল ।
They through out the maximum pain.,তবে ফেলে আসতে হলো বেশীরভাগ যন্ত্রাদি।
It was known as Vichy France.,এটি ভিশি ফ্রান্স নামে পরিচিত হয় ।
Turkish also kept an army reserved.,তুরষ্কও সৈন্যসমাবেশ করে রাখল ।
Yugoslavia was separated into pieces and was divided among the Axis Powers.,যুগোস্লাভিয়াকে খন্ডবিখন্ড করে অক্ষশক্তিরা ভাগ করে নেয় ।
Google Adsense is the largest search engine of Google search web.,গুগল এডসেন্সগুগল অনুসন্ধান ওয়েবের বৃহত্তম অনুসন্ধান ইঞ্জিন।
"Scientist Edwin Hubble has said it for the first time that if the velocity of the remotest galaxies are examined we will find that they are moving apart, that is, the universe is expanding continuously.",বিজ্ঞানী এডুইন হাবল প্রথম বলেন দূরবর্তী ছায়াপথসমূহের বেগ একসাথে করে পর্যালোচনা করলে দেখা যায় এরা পরষ্পর দূরে সরে যাচ্ছে অর্থাৎ মহাবিশ্ব ক্রমশ সম্প্রসারিত হচ্ছে।
It was discovered in 1960 and could be able prove the theory of Big Bang by repealing the theory of static state.,১৯৬০-এর দশকে এটি আবিষ্কৃত হয় এবং স্থির অবস্থা তত্ত্বকে অনেকটাই বাতিল করে মহা বিস্ফোরণ তত্ত্বকে প্রমাণ করতে সমর্থ হয়।
in order to take the command on himaliya people are asked to live with curious and ceremony,তিনি আবিষ্কার করেন যে পৃথিবী থেকে দৃশ্যমান ছায়াপথসমূহ থেকে নিঃসৃত আলোর লোহিত অপসারণ হচ্ছে এবং এই অপসারণ পৃথিবী থেকে তাদের দূরত্বের সমানুপাতিক।
The other one is the Big bang theory of Lemaître which practically was established by George Gamow.,অন্যটি হল ল্যমেত্র্‌র মহা বিস্ফোরণ তত্ত্ব যা মূলত জর্জ গ্যামফ কর্তৃক পূর্ণতা লাভ করেছে।
BUT A LOT OF OBSERVATIONS OF TIME DIMENTION WERE PRESENTED WHICH SUPPORTED THE SECOND THEORY RATHER THAN THE FIRST ONE.,কিন্তু সময়ের আবর্তে অনেকগুলো গুরুত্বপূর্ণ পর্যবেক্ষণ সাধিত হয় যার অধিকাংশই প্রথমটির বদলে দ্বিতীয় তত্ত্বের গ্রহণযোগ্যতার সাক্ষ্য দেয়।
General discussion.,সাধারণ আলোচনা
At that time the universe started expanding.,এই সময় মহাবিশ্ব সম্প্রসারিত হতে শুরু করে।
"As the size of universe increases, its temperature falls.",মহাবিশ্বের আয়তন যত বৃদ্ধি পেতে থাকে ততই এর তাপমাত্রা কমতে থাকে।
Same thing happens in the case of neutron/anti-neutron pair.,নিউট্রন/প্রতিনিউট্রন জোড়ের ক্ষেত্রেও একই ঘটনা ঘটে।
Along the expansion of the universe the distribution of universe was almost uniform.,সম্প্রসারণের সাথে সাথে মহাবিশ্বের বন্টন প্রায় সুষম হয়েছিলো।
the main source of energy of universe is this energy also called dark energy,মহাবিশ্বের বিপুল ভর ও শক্তির জন্য সবচেয়ে বেশী দায়ী এই শক্তিকে অদৃশ্য শক্তি বা dark energy বলা হয়।
It becomes mysterious state When we look at the early stage of creation of our universe.,তবে রহস্যজনক পরিস্থিতির সৃষ্টি হয় যখন আমরা মহাবিশ্বের সৃষ্টির গোড়ার দিকে দৃষ্টি নিক্ষেপ করি।
The universality of physical laws,ভৌত নীতিসমূহের সর্বজনীনতা
"Here we can produce the term conformal time (), in that case the time-space metric transforms into a static metric and this metric if multiplied by the total scale factor, the basic metric can be attained.",আমরা এখানে কনফরমাল সময় () নামক শব্দটির অবতারণা করতে পারি এহেন ক্ষেত্রে সম্পূর্ণ স্থান-কাল মেট্রিক একটি স্থিতিশীল মেট্রিকের রুপ নেয় এবং এটি এই মেট্রিককে সামগ্রিক স্কেল উৎপাদক দ্বারা গুণ করে মূল মেট্রক পাওয়া যায়।
This is expressed by ...,একে দ্বারা প্রকাশ করা গয়ে থাকে।
The main research obtained from the research paper done by Hubble in 1929.,হাবলকৃত ১৯২৯ সালের একটি গবেষণাপত্র থেকে প্রাপ্ত হাবলের মূল গবেষণা।
The sketch of universal little ripple diffusion as obtained from WMAP,ডব্লিউএমএপি থেকে প্রাপ্ত মহাজাগতিক ক্ষুদ্রতরঙ্গ পটভূমি বিকিরণের চিত্র
During that period a dormant state was existing in the universe with the combination of impartial atoms and different gaseous matters.,তখন মহাবিশ্বে কেবল নিরপেক্ষ পরমাণু এবং বিভিন্ন গ্যাসীয় বস্তুর সমন্বয়ে একটি নিষ্ক্রিয় পরিবেশ বিরাজ করছিল।
The residual temperature found by COBE was of 2.736 Kelvin.,কোবে কর্তৃক প্রাপ্ত অবশেষ তাপমাত্রার (residual temperature) পরিমাণ ছিল ২.৭৩৬ কেলভিন।
10-3 for 2 He/H,২H/H -এর জন্য প্রায় ১০-৩
By considering all these types of observations it is known that almost after one billion years of big bang the first galaxy and quasar was formed and from then onwards larger structures like galactic structures and super-structures began to be created.,এ ধরণের সকল পর্যবেক্ষণ পর্যালোচনা করে জানা যায় যে মহা বিস্ফোরণ সংঘটিত হওয়ার প্রায় এক বিলিয়ন বছর পর প্রথম ছায়াপথ এবং কোয়াসার সৃষ্টি হয়; আর তখন থেকেই তৈরি হতে থাকে আরও বৃহৎ পরিসরের গঠন যেমন ছায়াপথ স্তবক এবং মহা স্তবক।
A lot of arguments have been initiated in course of time the objective of which was to find out the fittest model in terms of astronomical observations.,সময়ের সাথে সাথে অনেক বিতর্কেরও সৃষ্টি হয়েছে যার মূল উদ্দেশ্য ছিল ঠিক কোন নকশাটি জ্যোতির্বৈজ্ঞানিক পর্যবেক্ষণের সাথে সবচেয়ে ভাল খাপ খায় তা বের করা।
With the theoretical physical science many solution of the problems are tried to bring out.,মৌলিক পদার্থবিজ্ঞান দ্বারা অনেকগুলোর উত্তর বের করার চেষ্টা করা হয়েছে আর এ থেকেই বিভিন্ন তত্ত্বের সৃষ্টি হয়েছে।
The equation problem is a problem of observation that is related to the Friedmann-Lemaître-Robertson-Walker metric.,সমতা সমস্যা একটি পর্যবেক্ষণিক সমস্যা যার ফ্রিদমান-লেমাইট্‌র-রবার্টসন ওয়াকার মেট্রিকের সাথে সম্পর্কিত।
"Andrei Sakharov, the scientist, presented these conditions.",বিজ্ঞানী আন্দ্রেই শাখারভ এই শর্তগুলো উত্থাপন করেন।
"n addition, many classic books that were originally intended for adults are now commonly thought of as works for children. Mark Twain",এ সময় নাক্ষত্রিক বায়ুর প্রভাব ধরা হয় এবং স্তবকগুলোর বয়স আরও কম পাওয়া যায়।
The Universe presently contains much less deuterium than it is supposed to be without the Dark matter idea.,অদৃশ্য বস্তুর ধারণা বাদ দিলে মহাবিশ্বে যে পরিমাণ ডিউটেরিয়াম থাকা উচিত ছিল বর্তমানে তার চেয়ে অনেক কম রয়েছে।
Dark force,অদৃশ্য শক্তি
Its near about constant is found by the scalar magnitude of the earth constant and the Quintessence unit that made the earth free space is taken in account.,এর সম্ভাব্য সমাধান পাওয়া যায় মহাজাগতিক ধ্রুবকের স্কেলার মান গ্রহণ এবং ভৌত শূণ্য স্থান গঠনকারী কুইনটেসেন্সের পরিমাণ ধরে নেয়া।
At that time black holes will automatically turn into vapor.,এ সময় কৃষ্ণ গহ্বরসমূহ স্বতঃ বাষ্পীভূত হবে।
Hypothetical Physics Crossing the Barriers of Big Bang,মহা বিস্ফোরণের সীমানা পেরিয়ে অনুমানমূলক পদার্থবিজ্ঞান
Some hypothesis are as follows:,কয়েকটি প্রস্তাবনা হচ্ছে:
Some persons have identified similarities of this theory with many other  doctrines.,কিছু ব্যক্তি অন্য অনেক মতের সাথে এই তত্ত্বের মিল খুঁজে পেয়েছেন।
They made it as the first reason of philosophy.,তারা এটিকে দার্শনিক প্রথম কারণ হিসেবে আখ্যায়িত করে।
The others,অন্যান্য
Times of Universe.,মহা বিস্ফোরণের কালপঞ্জি
